原文,AI分镜,关键词
我在全网被称为活阎王，只因我能看到别人的生死概率。," 在一个昏暗的房间里，一位神秘的人坐在一张古色古香的木质桌前。房间被稀疏的烛光点亮，透过窗户传来微弱的月光。这个人穿着一件黑色的长袍，脸上戴着一副沉默而神秘的面具。

他的手轻轻抚摸着桌面上的一张陈旧的纸张，纸上记录着无数个人的名字和数字。神情专注而又不可捉摸，他的眼神透露出一种独特的神秘力量。

桌子旁边放着一个老旧的望远镜，望远镜镶嵌着宝石，闪烁着微弱的光芒。周围还摆放着一本巨大的书籍，书页上密密麻麻地写满了奇怪的符号和注释。

窗外是一幅壮丽的夜景，远处的城市灯火辉煌，而近处则是一片广袤的草原和苍茫的星空，星光洒落在地面上，如同无数闪烁的钻石。

这个静止而寂静的画面中，透露出一股神秘而不可思议的氛围，仿佛这个人具有与生俱来的超能力，能够洞察他人生死的秘密。这种力量让人心生敬畏和好奇，也让人不禁思考人类生命的奥秘和不可逆转的命运。","mysterious figure in a dimly lit room, (silhouette:1.1), (vintage atmosphere:1.2), ancient wooden desk, sparse candlelight, faint moonlight filtering through the windows, (atmospheric lighting:1.2), black cloak, (billowing:1.1), adorned with a silent and enigmatic mask, (intricately designed:1.2), delicate fingers caressing an old and weathered parchment, [mysterious symbols] and hauntingly beautiful calligraphy filling the page, (ancient scroll:1.1), (elaborate calligraphy:1.2), (meticulous details:1.1), adjacent to the desk, an antique telescope, (adorned with gemstones:1.2), (subtle shimmer:1.1), a massive book, (meticulously illustrated:1.2), (mysterious symbols:1.1), (esoteric notations:1.1), beyond the window, a magnificent night view, (city skyline:1.2), (vast grasslands:1.1), (starry sky:1.2), stars glistening like diamonds on the ground, (serene atmosphere:1.2), (mystical aura:1.1), conveying a sense of otherworldly power, (intriguing:1.2), (hidden abilities:1.1), an aura of reverence and curiosity, pondering the mysteries of human existence, (unveil the secrets of life and death:1.2), unfathomable destiny, (uncanny power:1.1)"
凡是被我关注的人都活不过明天，还能享受我精心准备的一条龙服务。," 

一张黑暗的画面，只有微弱的光线透过窗户洒在房间的一角。房间内弥漫着一种令人不安的氛围，显得阴森而恐怖。墙上挂着一幅古色古香的油画，画中的人物面容模糊，仿佛散发着不祥的气息。几盏蜡烛在桌子上闪烁着微弱的火光，将房间映衬成幽暗的一片。
室内摆放着一些古老而怪异的物品，如损坏的玩偶、散落的扑克牌和锈迹斑斑的刀具。墙上的钟表发出低沉而阴冷的嘀嗒声，仿佛在倒计时一般。房间的氛围令人感到窒息和不安，仿佛有一股邪恶力量即将降临。
凡是进入这个房间的人，都会感到一阵寒意袭来，仿佛有无形的手正紧紧攥着他们的颈项。这幅画面散发着一种诡异的氛围，令人心生恐惧。无论是室内还是室外，都无法逃避这股令人凝视的黑暗力量。","dark and eerie scene, faint light filtering through a window, (gloomy atmosphere:1.2), (haunted house:1.1), (ominous vibe:1.1), (Sinister painting:1.2), (creepy dolls:1.2), scattered playing cards, (rusty knives:1.1), (antique objects:1.1), (clock ticking:1.2), (suffocating aura:1.2), (ominous presence:1.1), (chilling sensation:1.2), (sinister force:1.1), (fear-inducing atmosphere:1.2), (inescapable darkness:1.2)"
这天刚好刷到个叫极限鬼哥的直播间，他在楼顶玩滑板，并且没有做任何安全措施，," 

镜头固定在极限鬼哥身后，俯视着他在楼顶上玩滑板的场景。整个画面中，他站在一个宽敞的楼顶上，被一片灰色的天空所环绕。天空中飘着几朵蓬松的云朵，映衬出一种轻松愉悦的氛围。楼顶上铺设着光滑的水泥地面，清晰可见的污渍和划痕表明这里是一个滑板玩家经常光顾的地方。远处，高耸的建筑物和都市景观将楼顶与繁忙的街道隔开，形成了一股独特的城市氛围。

极限鬼哥身穿宽松的运动装，头戴鲜艳的帽子。他滑板的动作流畅而熟练，轻盈地在滑板上舞动着，每一次转身和跳跃都充满力量和激情。他的脸上洋溢着挑战和冒险的光芒，带着自信和决心，毫不畏惧地面对滑板运动的种种风险。阳光透过云层洒在他的身上，形成了温暖而柔和的光影，给整个画面增添了一抹明亮的色彩。

在他身后的天际线中，高楼大厦拔地而起，铁骨铸就的现代建筑成为了城市的标志。远处，快速行驶的车流和来往的行人形成了一种喧嚣的对比，而极限鬼哥在这个高处，却仿佛置身于另一个世界。与此同时，微风轻拂，抚摸着他的面庞，将他与尘世的联系纷纷吹散。

整个镜头营造出一种极致刺激和自由自在的氛围，展现了极限运动的挑战与乐趣。一切都凝结在这一瞬间，让人不禁为他的勇气和无畏所折服。","(Extreme sports:1.3), high-angle shot, skyscraper rooftop, (skateboarding:1.2), (urban landscape:1.1), (adrenaline:1.1), (street culture:1.1), wide expanse, gray sky, fluffy clouds, (relaxed atmosphere:1.2), (concrete ground:1.1), visible stains and scratches, (skateboarder:1.3), loose sportswear, vibrant hat, smooth and skilled movements, (powerful and passionate:1.2), confident expression, determination, (sunlight:1.2), warm and gentle light and shadow, (city skyline:1.1), towering buildings, modern architecture, bustling streets, (wind:1.1), (otherworldly sensation:1.2), (excitement and freedom:1.3), (challenge and enjoyment:1.2), (courage and fearlessness:1.1)"
为了让粉丝开心还玩起了杂技，这无异于是在急着投胎呀，, 在一个宽敞明亮的户外广场上，太阳高挂在碧蓝的天空中。一位年轻的艺术家身穿鲜艳的舞台服装，站在一根高高的杂技杆上。他自信的表情中透露出一丝挑战与兴奋的神采。他的身体动作完美而优雅，同时展示着灵巧和协调性。背景中，人们热情洋溢地鼓掌喝彩，欢呼声回荡在整个广场上。整幅画面透露着一种活力和欢乐的氛围，仿佛所有的烦恼都被抛到九霄云外。,"young male artist performing on a tall acrobatic pole, (circus theme:1.1), vibrant costume with eye-catching colors, confident expression with a hint of excitement, precise and graceful movements, showcasing agility and coordination, (crowded outdoor square:1.2), sunny day with clear blue sky, enthusiastic applause and cheers from the audience in the background, (uplifting atmosphere:1.2), (joyful ambiance:1.2)"
此刻我看到他下次发生危险的几率为100%，出于好心便提醒他不要搞这种危险的动作，安安稳稳直播不好吗？不然很快就全村开席了。," 在一个室外的广场上，阳光明媚。广场中央有一个表演舞台，上面摆放着各种器械和道具。镜头聚焦在一个年轻人身上，他穿着运动装，站在舞台上。他的脸上带着兴奋和挑战的表情，腿部微微弓起，准备迎接即将到来的危险动作。周围的观众都望向他，他们紧张而期待的表情跃然而出。伴随着观众的嘈杂声和喝彩声，镜头中的环境也逐渐展现出来。广场四周是一片繁忙的市区，高楼大厦拔地而起，路上车水马龙，给人一种喧嚣的感觉。然而，阳光透过高楼间的缝隙照射下来，点亮了广场上的一片空地，照耀着那个年轻人。然而，就在这一刻，镜头意外地切到了一个告示牌上，上面写着""危险！请远离！""，提醒着人们这个动作的潜在风险。镜头在年轻人和告示牌之间不停切换，展现出危险与安全的对比。大家的目光都注视着他，心神紧张，仿佛觉得他即将面临一场生与死的挑战。而那个年轻人毫不知情，还在兴奋地准备着。整个画面充满了紧张、兴奋和不确定因素，给人一种即将发生重大事件的感觉。","young man, outdoor square, sunny day, bustling cityscape, tall buildings, crowded streets, bustling atmosphere, (detailed:1.1), excitement, challenge, (sportswear:1.1), focused expression, (sporting equipment:1.1), (props:0.9), (dangerous stunt:1.2), audience, anticipation, (nervous:1.1), (expectant:1.1), (noisy:1.1), (cheering:1.1), sunlight, (high-rises:1.1), (glimmers:1.1), contrast, caution sign, ""Danger! Keep your distance!"", (unexpected:1.1), potential risks, (cut back and forth:1.1), safe vs. dangerous, (intense gaze:1.1), (challenging:1.1), (life and death:1.1), unaware, preparation, tension, uncertainty, (momentous event:1.1)"
然后我在他的置顶视频下留了一条广告，主播，我关注你很久，我是平安白事铺最专业的葬礼一条龙服务，提前预约可享三折优惠。," 在一个宽阔的电脑屏幕前，我们看到一个拥有现代感的室内空间。室内以简约的风格装饰，白色的墙壁与深色的地板形成鲜明的对比。一台大型显示屏幕放置在室内的墙壁上，将注意力吸引至中央。屏幕上是一个独特的视频主播，他正专注地与观众交流。

主播面带着自信的微笑，目光专注，显示出他对内容的真诚热情。背景的家具简洁而现代，展示出这个空间高品质的装饰风格。室内充满了温暖的灯光，营造出舒适宜人的氛围。

尽管整个场景注重细节，但似乎有一点不寻常。在主播视频下方连续跳出一条新的评论，字体明亮醒目，引人注目。这是一条来自""平安白事铺""的广告，推销着他们专业的葬礼一条龙服务。广告提醒观众可以通过提前预约享受三折优惠，展示出他们的专业与诚信。

整个画面呈现出一个独特而引人入胜的场景：主播专注于屏幕前的交流，而室内空间的现代装饰和温暖的灯光营造出了一个宜人的环境。然而，广告的出现突然打破了这个场景的和谐，给观众带来了一点出乎意料的感觉。","In front of a wide computer screen, we see a modern indoor space. The interior is decorated in a minimalist style, with white walls contrasting with dark flooring. A large display screen is placed on the wall, drawing attention to the center. On the screen is a unique video streamer, who is engaging with the audience with great focus.

The streamer wears a confident smile, with a focused gaze, showcasing their genuine passion for the content. The furniture in the background is sleek and modern, reflecting the high-quality decor of the space. Warm lighting fills the room, creating a cozy and pleasant atmosphere.

Although the entire scene pays attention to detail, there seems to be something unusual. Below the streamer's video, a new comment repeatedly pops up, with bright and eye-catching fonts. It's an advertisement from ""Peaceful Funerals,"" promoting their professional funeral services. The ad reminds viewers that they can enjoy a 30% discount by booking in advance, showcasing their professionalism and integrity.

The entire composition presents a unique and captivating scene: the streamer's focus on communicating through the screen, the modern decor of the indoor space, and the warm lighting that creates a pleasant environment. However, the sudden appearance of the advertisement disrupts the harmony of the scene, leaving the viewers with a slightly unexpected feeling."
随后我便关注了他，下播的极限鬼哥，看到这条评论被气得肝疼，更可气的是，这条评论居然被点了20万个赞。," 

在一个明亮的房间里，阳光透过窗户洒进来，照亮了整个空间。房间的装饰简洁而现代，白色的墙壁上挂着一幅浓墨重彩的油画，展现出一幅宏伟壮丽的大山风景。地上铺着柔软的地毯，质感细腻，散发出淡淡的清香。靠墙的一张舒适的椅子上坐着一位中年男子，他身穿休闲衣服，面容稍显疲惫。他专注地盯着电视屏幕，眉头微微皱起，流露出一丝愤怒和不满。墙壁上的时钟滴答作响，时间仿佛凝固在这一刻。","Middle-aged man with a tired expression, sitting in a comfortable chair, [casual attire] in a bright room filled with sunlight pouring in through the windows [minimalist decor style]. The white walls showcase a vibrant and majestic oil painting of a breathtaking mountain landscape [dense and dramatic]. The floor is adorned with a soft carpet that exudes a delicate fragrance [subtle and comforting]. The man's focus is fixed on the television screen, brows furrowed, revealing a mixture of anger and dissatisfaction [intense and frustrated]. The clock on the wall ticks away, freezing time in this moment [suspenseful and tense]., (high-resolution:1.2)"
好啊，既然你说我下次要开席，那我干脆直接开下一场直播，我玩的就是真实。," 

一片炽热的沙漠中，日头高悬，烈阳火辣地照射在无边的金黄沙丘上。视角从远处的沙漠地平线上慢慢拉近，展现出一幅令人叹为观止的景致。沙丘起伏不定，形成一幅庞大的沙海，如同巨兽的脊梁，随风起伏。

在这个辽阔的沙漠之中，一座奇特的建筑物若隐若现。它看起来像是一座巨大的金字塔，巍峨耸立在沙漠之中。阳光映照下，金字塔反射出迷人的光芒，宛如一座闪耀的宝石，散发着神秘的气息。

周围的风沙在阳光下闪烁着金黄色的光芒，仿佛无尽的金砂在空中跳跃舞动。风声呼啸而过，沙粒随之翻滚，形成一幅壮观的自然画卷。

镜头急速拉近，进入到金字塔的内部。一片幽暗的空间映入眼帘，伴随着微弱的光芒，照明着周围的一切。巨大的石柱托起整个空间，宛如古老的遗迹，散发着厚重的历史气息。

镜头再次推进，落在一个神秘的雕像上。雕像代表着一位古老的沙漠战士，威严而庄重。他身穿沙漠战袍，手持一柄光芒闪烁的利剑，仿佛随时可能迎战敌人。

这个静止画面让人仿佛穿越到了远古的时代，感受到了浩瀚沙漠的辽阔与神秘。一股神秘的魅力弥漫在空气中，引人沉迷在这个古老而神秘的世界之中。","In the scorching desert, with the sun high in the sky and its rays blazing down on endless golden sand dunes, the perspective slowly zooms in from the distant desert horizon, revealing a breathtaking sight. The undulating sand dunes resemble the spine of a colossal beast, swaying in the wind.

Amidst the vast desert, a peculiar structure emerges, seemingly obscured by the shimmering heat. It appears to be a massive golden pyramid towering magnificently in the midst of the desert. Bathed in sunlight, the pyramid radiates a dazzling glow, akin to a sparkling gem, exuding an air of mystery.

The surrounding winds carry grains of sand, glistening with golden light under the sun, as if infinite specks of gold are dancing in the air. The winds howl through, causing sand particles to roll and tumble, creating a spectacular natural painting.

The camera swiftly zooms into the interior of the pyramid. A dimly lit space comes into view, bathed in faint illumination. Colossal stone pillars hold up the entire expanse, reminiscent of ancient ruins, emanating a profound sense of history.

The camera zooms in further, revealing a mysterious statue. The statue represents an ancient desert warrior, exuding dignity and solemnity. Donned in desert robes, the warrior holds a shimmering sword, as if ready to confront any adversaries that come their way.

This frozen scene transports one back to ancient times, as if transpiring across the vast desert, immersed in its grandeur and mystery. A mysterious allure permeates the air, captivating and drawing one into this ancient and enigmatic world. (8k resolution, masterpiece)"
结果当天晚上七点，就有一则消息传出，某个平台主播直播玩滑板意外坠楼身亡。, 在一片昏暗的夜幕下，霓虹灯光映照着一个高楼的外墙。一只破旧的滑板静静地停在楼下，像是失去了光彩。寂静中，空气中弥漫着悲伤和哀思的氛围。天空中，星星羡慕地瞧着这寂静的一刻，仿佛是对那位失去生命的主播的默哀。,"Emotionally drained skateboarder, exhausted expression, worn-out clothes, (street art style:1.2), (punk vibes:1.1), vacant stare, empty streets, abandoned buildings, (gritty urban landscape:1.3), flickering neon lights, (noir atmosphere:1.2), dusky sky, (star-filled backdrop:1.1), silent tribute to a fallen hero, (sadness and nostalgia:1.3), (desolate cityscape:1.2), (moody lighting:1.1)"
此时的我并不知情，当等我再次打开账号时，我的20个粉丝竟变成了18万粉丝。," 

阳光透过斑驳的树叶洒在一间明亮的房间内，一名年轻的男子坐在书桌前，表情中透露出一丝茫然和惊讶。房间的墙壁上挂满了他所收集的风景摄影作品，展示了他对美丽世界的热爱。书桌上摆放着电脑，屏幕显示着社交媒体的页面，粉丝数量的数字从20迅速飙升至18万，引发了他的不解和震惊。周围的环境简洁而舒适，展示出他对简约美学的追求。阳光透过窗户照在地板上，映衬出一片安宁。一时间，房间中弥漫着喜悦与困惑的氛围，这个不经意间的收获让他倍感振奋，也让他对未来充满了期待。","young man, sitting at a desk, (expressing surprise and confusion:1.1), (reading computer screen:1.2), (sunlight filtering through trees:1.3), (collecting landscape photography:1.1), (displaying love for the beautiful world:1.2), (neat and comfortable environment:1.2), (minimalistic aesthetic:1.1), (sunlight shining on the floor:1.2), (feeling of joy and perplexity:1.3), (unexpected achievement:1.2), (excitement for the future:1.1)"
