原文,AI分镜
我在互联网上被尊称为生死宣判专家，因为我能够预测别人的生存几率。," 在一间昏暗的研究室里，一个高大的黑色超级计算机座落在房间中央。它的屏幕呈现出一个复杂的数据模型，闪烁不停，灰色的光芒洒在周围。房间里弥漫着一种紧张的氛围，仿佛时间静止了下来。计算机投影在屏幕上的图像，是一位神秘的专家，身影隐约可见。他瞥过屏幕，眼神中透露出一丝冷漠。在这个神秘的黑暗空间里，他坐在一个黑色的旋转椅上，手指敲击键盘，光标闪烁。

(描述: 黑暗的研究室，高大的黑色超级计算机，闪烁的数据模型，紧张的气氛，冷漠的眼神，黑色旋转椅，敲击键盘)"
只要我盯上一个人，明天他就没戏了。, 黑暗的夜晚，一盏街灯照亮了一段昏暗的街道。镜头聚焦在一个阴影里的人物身上，他站在街角，身穿黑色大衣，俯身看着前方。他的眼神中透露着决绝和狡黠。画面中的人物周围是一片静谧，只有微弱的风声和灯光的闪烁。天空中飘着几朵飞过的乌云，预示着即将来临的暴风雨。这个镜头给人一种紧张、威胁的氛围。无论发生什么事情，这个人似乎已经有了他自己的决定和计划。他势必要改变这个人的命运，而明天，这个人将目睹他的威慑力，从此一蹶不振。
不仅如此，他们还将享受到我特别准备的一站式服务。, 一张俯视图的图片展现在眼前。镜头仰视，拍摄到一个宽敞而现代的大厅。大厅的地面采用黑色大理石铺设，散发出冷冽的光泽。天花板高高的，上面装饰着华丽的水晶吊灯，映射出璀璨的光芒。墙壁上挂着一幅巨大的风景画，画面里是一片宁静的湖泊和壮丽的雪山。沙发和椅子排列整齐，给人一种宾至如归的感觉。仔细观察，可以看到镂空花纹点缀的墙角，展示出浓厚的欧洲古典风格。地面的一侧摆放着一个玻璃柜台，上面摆满了精美的瓷器和翡翠饰品，散发出迷人的光芒。整个大厅空气清新，轻柔的音乐轻轻地在空中流淌，给人一种宁静愉悦的感觉。这是一个迷人的场景，让人心生向往。
就在某一天，我意外地发现了一个名叫“极限鬼哥”的直播间。, 在一个昏暗的房间里，灯光微弱地照亮着一个巨大的电脑屏幕。直播间的主题装饰着黑暗、神秘的氛围，墙上挂满了恐怖的画作和奇怪的道具。直播间主人坐在椅子上，神秘地戴着黑色面具，散发出一股阴森的气息。在屏幕上，真实而又令人胆寒的画面展现着，他通过探险和挑战极限的方式吸引观众的眼球。神秘的气氛和刺激的画面融合在一起，令人难以忽视。
他在楼顶玩滑板，竟然没有任何安全措施。, 在宽阔的城市楼顶上，一个年轻的男子身着宽松的衣服，站在滑板上。他的长发在微风中飘扬，眼神充满活力。周围高耸的建筑物和远处的城市景观构成壮丽的背景。阳光明媚，柔和的阳光洒在他身上，给他的肌肤带来了一丝温暖。没有任何安全设施，他脚下的滑板能量充沛，正要迎接他下一次的奇妙跳跃。在这一刻，他散发出无畏和自由的气息，不仅仅是在享受这个刺激的瞬间，更是在挑战自己和极限。
为了让粉丝们开心，他还尝试了各种杂技动作，简直就是在拼命找下一趟轮回的机票。, 粉丝们热情高涨，聚集在一个宽敞的户外场地上。画面中心是一名身着鲜艳服装的杂技表演者，他全身散发着自信和决心的光芒。他站在一个高大的秋千上，双手轻轻抵住秋千的两侧，身体如同飞翔的燕子般腾空而起，姿态优美而轻盈。阳光透过树叶洒在他身上，映照出他无畏的眼神和兴奋的笑容。周围是一片郁郁葱葱的绿树和碧草，微风拂过，草叶轻轻摇曳。场地的边缘是一排坐着的观众，他们目不转睛地凝视着表演者，表情中充满着期待和欢笑。整个画面充满了活力与喜悦，仿佛时间在这一刻静止下来。
此时，我看到了他下次发生危险的几率是100%。, 在一个黑暗而沉寂的房间里，我们看到一个男人孤独地坐在桌前。他的眼神中透露出一丝焦虑和不安，额头上渗出细密的汗水。房间里除了他之外一片寂静，只有微弱的灯光从窗户透进来，映照着他坚定的面容。墙壁上挂着一副带有沧桑感的画作，画面中的人物仿佛在诉说着无尽的故事。透过窗户，可以看到外面的寒风呼啸而过，树枝随着风摇摆不定。这个房间的气氛沉重而压抑，仿佛预示着一场即将到来的危险。男人坚定的目光，似乎在表达着他已经做好了迎接任何挑战的准备。
我心存善念，提醒他不要搞这种危险的把戏。直播安安稳稳地进行，对大家都好，不然我们很快就要为他开追思会了。," 在阳光明媚的户外空地上，一个宽广的舞台映入眼帘。舞台上，摆放着一张简洁典雅的讲台，上面摆着一台带有多个摄像头的直播设备。讲台前，一个和善温和的人影站在讲台上，向着观众们微笑着。周围围观的人群目光都集中在这个人身上，让人感受到一股庄重与温暖的氛围。

背景是一片广阔的草坪，翠绿的草地与淡蓝的天空交相辉映，清风拂过，草地轻轻摇曳。远处，一排高大的树木随风轻摆，为场景增添了几分宁静和静谧。

天空中飘过几朵洁白的云朵，阳光透过云缝洒落在地面上，给整个画面增添了一抹柔和的光影。阳光下，舞台的木质材料显得温暖而富有质感，将整个场景衬托得更加舒适和温馨。

人物身着简洁大方的服装，面容和善，他站在讲台上，微笑着向观众们挥手，眼中透露出一丝关切和担忧。他的动作稳健而自信，表情温暖而坚定，让人感受到他内心善意的力量。观众们也在安静地观看，脸上洋溢着期待和信任的表情。

整个静止镜头充满着温馨和宁静的氛围，给人一种平和与安定的感觉。同时，也透露出一份警示和提醒，让人们深思并意识到危险和安全的重要性。"
然后，我在他视频的置顶评论下留了一则广告：“主播，我关注你很久了。我是平安白事铺提供最专业的一店式葬礼服务。预约还可以享受三折优惠哦！”, 在一个温暖的家庭客厅里，一个电脑屏幕显示着一个直播的视频，视频的置顶评论区出现了一则独特的广告。这条广告发布者形象得体，面带微笑，与视频的内容相呼应。客厅的墙上挂着一幅温馨的家庭照片，照片中的人们正其乐融融地共度时光。阳光透过窗户洒进来，给整个房间增添了一丝温暖的氛围。
然后，我关注了他，专注等待着极限鬼哥结束直播。,镜头语言：在一个宽敞的直播间内，光线昏暗而柔和。摄像机准确地对准了一个年轻男子，他坐在一个简洁而现代的工作台前，眼神专注地注视着电脑屏幕。他的脸上透露出一股期待和兴奋的表情。桌上摆放着一台高性能电脑、一个麦克风和一副耳机。虚拟游戏世界的画面通过屏幕反射在他眼中，光在他的眼睛中闪耀。视野之外，一排排亮彩的游戏奖杯和照片墙构成了背景，向人们展示了他在游戏世界中的巅峰成就。整个房间弥漫着一种富有创造力和激情的氛围，仿佛在等待着一场划时代的直播。
